Date,Close,High,Low,Open,Volume
2020-12-22,341.8761901855469,342.8909048278069,340.74976800980517,342.7791972943252,47949000
2020-12-23,342.183349609375,344.0917525684816,341.8575170917641,342.84430466406303,46201400
2020-12-24,343.5146484375,343.5425753213041,342.0717120912017,342.6581766510882,26457900
2020-12-28,346.4656982421875,346.85667458893,345.4416652223988,346.06537505500916,39000400
2020-12-29,345.80474853515625,348.1693289377811,345.2182555477863,347.9924491984202,53680500
2020-12-30,346.298095703125,347.3314471151924,345.90711937087656,346.6239282532309,49455300
2020-12-31,348.0576171875,348.7837445893019,345.59064770765076,346.10265005654054,78520700
2021-01-04,343.31915283203125,349.51917659122995,339.62334376927595,349.3888321963932,110210800
2021-01-05,345.68365478515625,346.7728598923991,342.6301928867929,342.6767566253038,66426200
2021-01-06,347.7503967285156,350.9435220537929,343.62636577991566,344.17561345030657,107997700
2021-01-07,352.91705322265625,353.66178899148537,349.9473717579539,350.12425147477427,68766800
2021-01-08,354.927978515625,355.14207519710413,351.0552888744593,354.30424010773305,71677200
2021-01-11,352.53533935546875,354.294789546003,351.6323323911676,351.7533583363595,51034700
2021-01-12,352.60980224609375,353.6245167279708,350.3662482704432,352.72153817176564,52547700
2021-01-13,353.55938720703125,354.55546486987174,351.75337320210355,352.5353542542608,45303600
2021-01-14,352.3212890625,354.80689545132014,351.9861664446019,354.3041831146207,49989100
2021-01-15,349.7518615722656,351.50199335982205,347.88999385755534,350.70140387922305,107160000
2021-01-19,352.49810791015625,353.0380654699637,350.72933922047633,352.20952068020125,51233300
2021-01-20,357.3762512207031,358.21408610198193,354.39725118743416,354.7882275407677,61836100
2021-01-21,357.7019958496094,358.3629793057075,356.7803804745633,357.9347293006691,47840100
2021-01-22,356.4360046386719,357.5996721065897,355.4678253506062,355.8495116892653,52860500
2021-01-25,357.84173583984375,358.1954668974896,352.3212755983803,357.17146221981005,70402000
2021-01-26,357.2831726074219,359.2008944003585,357.0504391042999,358.79128116207573,42665300
2021-01-27,348.551025390625,354.0528491035127,346.31678932489797,353.95975001538807,123351100
2021-01-28,351.54864501953125,355.55165024335554,349.9288287937746,350.36634054269865,94198100
2021-01-29,344.5107727050781,350.65494315277493,342.83507435942295,349.68676378038657,126765100
2021-02-01,350.2452697753906,351.2785927627981,344.7993008040637,347.90861660624154,75817600
2021-02-02,355.1977844238281,356.75245638940856,350.32901877184787,353.4290158638977,64450700
2021-02-03,355.47711181640625,357.19934519602856,354.20173693182824,356.02635940269215,52427100
2021-02-04,359.51739501953125,359.563930354463,355.5888524983493,356.5104680448607,47142600
